DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
26-Jun-2025,EQ,"6,123.00","6,135.00","6,013.00","6,124.50","6,106.00","6,107.00","6,090.49","8,345.00","4,488.00",851467,"5,18,58,47,570.00",73335
25-Jun-2025,EQ,"6,090.00","6,156.00","6,080.00","6,057.50","6,126.00","6,124.50","6,114.80","8,345.00","4,488.00",815696,"4,98,78,20,506.00",71715
24-Jun-2025,EQ,"6,174.00","6,205.00","6,033.00","6,120.00","6,071.00","6,057.50","6,102.41","8,345.00","4,488.00",1459591,"8,90,70,17,867.00",123288
23-Jun-2025,EQ,"5,850.00","6,210.00","5,830.00","5,897.50","6,108.00","6,120.00","6,063.01","8,345.00","4,488.00",2271641,"13,77,29,86,931.00",151110
20-Jun-2025,EQ,"5,756.00","6,030.00","5,720.00","5,723.50","5,950.00","5,897.50","5,889.65","8,345.00","4,488.00",10424185,"61,39,48,05,886.50",199918
19-Jun-2025,EQ,"5,800.00","5,800.00","5,665.00","5,735.00","5,700.00","5,723.50","5,718.78","8,345.00","4,488.00",886990,"5,07,24,97,619.50",81755
18-Jun-2025,EQ,"5,654.00","5,759.00","5,627.00","5,626.50","5,728.00","5,735.00","5,715.10","8,345.00","4,488.00",864129,"4,93,85,81,898.00",78565
17-Jun-2025,EQ,"5,687.00","5,702.00","5,602.00","5,679.50","5,624.50","5,626.50","5,644.16","8,345.00","4,488.00",529572,"2,98,89,91,626.50",51481
16-Jun-2025,EQ,"5,589.00","5,695.00","5,561.50","5,590.00","5,671.50","5,679.50","5,655.98","8,345.00","4,488.00",605268,"3,42,33,86,269.50",57120
13-Jun-2025,EQ,"5,505.50","5,617.50","5,481.00","5,627.50","5,617.50","5,590.00","5,555.27","8,345.00","4,488.00",711911,"3,95,48,54,338.50",79588
12-Jun-2025,EQ,"5,776.50","5,838.00","5,611.00","5,776.50","5,620.00","5,627.50","5,708.30","8,345.00","4,488.00",974013,"5,55,99,58,864.50",92675
11-Jun-2025,EQ,"5,817.00","5,838.00","5,759.50","5,814.00","5,782.50","5,776.50","5,792.75","8,345.00","4,488.00",545428,"3,15,95,29,426.00",69941
10-Jun-2025,EQ,"5,929.00","5,955.00","5,805.00","5,913.50","5,816.00","5,814.00","5,855.59","8,345.00","4,488.00",683305,"4,00,11,51,263.50",75615
09-Jun-2025,EQ,"5,818.00","5,924.50","5,764.50","5,777.00","5,922.00","5,913.50","5,880.47","8,345.00","4,488.00",1377600,"8,10,09,33,593.50",114410
06-Jun-2025,EQ,"5,700.00","5,806.50","5,614.50","5,673.00","5,774.00","5,777.00","5,748.75","8,345.00","4,196.00",1034577,"5,94,75,20,612.50",97320
05-Jun-2025,EQ,"5,539.00","5,709.00","5,516.00","5,506.50","5,680.00","5,673.00","5,654.20","8,345.00","4,196.00",1212876,"6,85,78,38,763.00",102851
04-Jun-2025,EQ,"5,590.00","5,607.00","5,481.50","5,590.00","5,510.00","5,506.50","5,520.72","8,345.00","4,196.00",748937,"4,13,46,68,958.50",80681
03-Jun-2025,EQ,"5,646.50","5,660.00","5,568.00","5,621.50","5,575.50","5,590.00","5,605.39","8,345.00","4,196.00",510323,"2,86,05,58,244.00",52060
02-Jun-2025,EQ,"5,681.00","5,681.00","5,570.00","5,643.50","5,625.00","5,621.50","5,612.31","8,345.00","4,196.00",504095,"2,82,91,39,400.50",56669
30-May-2025,EQ,"5,656.00","5,728.00","5,625.00","5,657.00","5,625.00","5,643.50","5,652.08","8,345.00","4,196.00",1440608,"8,14,24,27,969.00",95417
29-May-2025,EQ,"5,570.00","5,689.50","5,568.00","5,559.00","5,651.00","5,657.00","5,646.16","8,345.00","4,196.00",1192069,"6,73,06,10,470.00",96101
28-May-2025,EQ,"5,587.00","5,600.50","5,535.00","5,573.00","5,550.00","5,559.00","5,568.08","8,345.00","4,196.00",452258,"2,51,82,09,226.50",57936
27-May-2025,EQ,"5,525.00","5,633.00","5,485.00","5,526.00","5,570.00","5,573.00","5,568.05","8,345.00","4,196.00",1019222,"5,67,50,74,777.50",105910
26-May-2025,EQ,"5,455.00","5,536.50","5,416.50","5,435.50","5,529.00","5,526.00","5,492.34","8,345.00","4,196.00",640440,"3,51,75,14,190.50",64238
23-May-2025,EQ,"5,405.00","5,499.50","5,403.50","5,342.00","5,428.00","5,435.50","5,442.67","8,345.00","4,196.00",1127412,"6,13,61,28,261.00",97580
22-May-2025,EQ,"5,441.00","5,449.00","5,285.00","5,443.50","5,346.00","5,342.00","5,346.34","8,345.00","4,196.00",962354,"5,14,50,70,465.00",94016
21-May-2025,EQ,"5,450.50","5,537.50","5,370.00","5,449.50","5,449.00","5,443.50","5,446.03","8,345.00","4,196.00",607763,"3,30,98,97,619.00",65622
20-May-2025,EQ,"5,604.00","5,604.00","5,433.00","5,551.00","5,441.50","5,449.50","5,484.09","8,345.00","4,196.00",748551,"4,10,51,22,483.50",74418
19-May-2025,EQ,"5,610.00","5,639.00","5,530.00","5,583.00","5,545.00","5,551.00","5,585.00","8,345.00","4,196.00",604580,"3,37,65,80,507.50",63708
16-May-2025,EQ,"5,594.00","5,610.50","5,545.00","5,577.50","5,589.50","5,583.00","5,580.79","8,345.00","4,196.00",808195,"4,51,03,69,950.50",73942
15-May-2025,EQ,"5,362.00","5,630.00","5,311.50","5,362.00","5,565.50","5,577.50","5,495.20","8,345.00","4,196.00",1521892,"8,36,30,98,161.50",144602
14-May-2025,EQ,"5,340.00","5,412.00","5,291.50","5,326.50","5,360.00","5,362.00","5,365.09","8,345.00","4,196.00",557468,"2,99,08,64,387.00",65260
13-May-2025,EQ,"5,444.00","5,456.50","5,320.00","5,441.00","5,338.00","5,326.50","5,359.75","8,345.00","4,196.00",728870,"3,90,65,58,251.50",78752
12-May-2025,EQ,"5,330.00","5,478.00","5,225.00","5,113.00","5,460.00","5,441.00","5,376.59","8,345.00","4,196.00",1203631,"6,47,14,29,932.00",99818
09-May-2025,EQ,"5,063.50","5,207.50","5,063.50","5,226.50","5,121.50","5,113.00","5,129.59","8,345.00","4,196.00",778167,"3,99,16,73,914.50",93180
08-May-2025,EQ,"5,233.00","5,319.00","5,179.50","5,233.00","5,183.00","5,226.50","5,254.25","8,345.00","4,196.00",926044,"4,86,56,65,615.50",93452
07-May-2025,EQ,"5,145.00","5,271.00","5,142.50","5,224.00","5,229.00","5,233.00","5,220.72","8,345.00","4,196.00",711009,"3,71,19,80,967.50",84497
06-May-2025,EQ,"5,381.00","5,423.50","5,210.00","5,370.50","5,220.00","5,224.00","5,299.98","8,345.00","4,196.00",709414,"3,75,98,78,412.00",79574
05-May-2025,EQ,"5,175.00","5,382.00","5,155.00","5,148.00","5,380.00","5,370.50","5,329.51","8,345.00","4,196.00",1310015,"6,98,17,44,441.00",102701
02-May-2025,EQ,"5,172.50","5,268.50","5,129.50","5,172.50","5,133.00","5,148.00","5,190.78","8,345.00","4,052.40",920201,"4,77,65,65,511.50",100813
30-Apr-2025,EQ,"5,435.00","5,435.00","5,120.00","5,391.50","5,135.00","5,172.50","5,197.34","8,345.00","4,052.40",2709549,"14,08,24,52,023.50",187605
29-Apr-2025,EQ,"5,221.00","5,510.00","5,175.00","5,209.50","5,510.00","5,391.50","5,325.53","8,345.00","4,052.40",1420743,"7,56,62,04,020.00",120293
28-Apr-2025,EQ,"5,124.50","5,252.00","5,115.00","5,145.00","5,209.00","5,209.50","5,204.36","8,345.00","4,052.40",982085,"5,11,11,20,632.50",79776
25-Apr-2025,EQ,"5,334.00","5,356.00","5,105.00","5,323.50","5,124.00","5,145.00","5,177.72","8,345.00","4,052.40",1030377,"5,33,50,04,613.00",121287
24-Apr-2025,EQ,"5,311.00","5,399.00","5,256.00","5,329.00","5,320.00","5,323.50","5,327.72","8,345.00","4,052.40",1039905,"5,54,03,26,729.50",103136
23-Apr-2025,EQ,"5,350.50","5,382.00","5,210.50","5,323.00","5,334.00","5,329.00","5,292.75","8,345.00","4,052.40",970478,"5,13,65,00,853.00",98611
22-Apr-2025,EQ,"5,379.00","5,418.50","5,300.00","5,360.00","5,309.00","5,323.00","5,348.25","8,345.00","4,052.40",1166872,"6,24,07,20,549.00",100057
21-Apr-2025,EQ,"5,180.00","5,374.50","5,126.00","5,130.50","5,352.00","5,360.00","5,287.71","8,345.00","4,052.40",1309441,"6,92,39,49,345.50",114453
17-Apr-2025,EQ,"5,052.00","5,144.00","4,954.00","5,035.50","5,117.50","5,130.50","5,078.03","8,345.00","3,912.40",1464066,"7,43,45,77,880.00",148117
16-Apr-2025,EQ,"4,922.00","5,049.50","4,852.00","4,877.00","5,042.00","5,035.50","4,985.45","8,345.00","3,912.40",1589998,"7,92,68,57,218.00",142580
15-Apr-2025,EQ,"4,879.00","4,985.00","4,830.50","4,780.55","4,887.00","4,877.00","4,895.31","8,345.00","3,912.40",1587931,"7,77,34,12,088.50",159023
11-Apr-2025,EQ,"4,782.50","4,830.00","4,660.75","4,620.20","4,785.00","4,780.55","4,773.45","8,345.00","3,894.90",1894062,"9,04,12,04,228.75",150658
09-Apr-2025,EQ,"4,767.00","4,767.20","4,605.00","4,767.20","4,625.70","4,620.20","4,645.72","8,345.00","3,894.90",1598513,"7,42,62,35,972.10",156575
08-Apr-2025,EQ,"4,903.00","4,964.05","4,684.20","4,740.95","4,760.00","4,767.20","4,766.67","8,345.00","3,894.90",3035242,"14,46,80,11,018.70",220402
07-Apr-2025,EQ,"5,006.60","5,006.60","4,488.00","5,562.85","4,745.05","4,740.95","4,678.56","8,345.00","3,894.90",7644740,"35,76,63,41,965.25",500834
04-Apr-2025,EQ,"5,688.00","5,688.00","5,544.40","5,675.30","5,567.90","5,562.85","5,589.57","8,345.00","3,843.00",680922,"3,80,60,59,249.30",75498
03-Apr-2025,EQ,"5,630.00","5,751.00","5,610.00","5,682.50","5,666.00","5,675.30","5,700.53","8,345.00","3,843.00",960710,"5,47,65,52,310.00",92359
02-Apr-2025,EQ,"5,630.55","5,702.00","5,515.80","5,576.75","5,666.30","5,682.50","5,633.65","8,345.00","3,843.00",1491897,"8,40,48,25,124.80",110619
01-Apr-2025,EQ,"5,350.85","5,614.95","5,334.20","5,325.15","5,568.10","5,576.75","5,553.87","8,345.00","3,843.00",2260895,"12,55,67,18,286.80",179166
28-Mar-2025,EQ,"5,422.95","5,525.95","5,290.00","5,422.30","5,306.05","5,325.15","5,400.91","8,345.00","3,843.00",1535964,"8,29,55,97,962.30",129118
27-Mar-2025,EQ,"5,359.00","5,444.95","5,335.80","5,321.95","5,415.00","5,422.30","5,399.63","8,345.00","3,843.00",1670468,"9,01,99,12,938.60",150239
26-Mar-2025,EQ,"5,205.00","5,410.00","5,118.50","5,185.05","5,308.00","5,321.95","5,301.06","8,345.00","3,843.00",1625697,"8,61,79,21,047.50",136914
25-Mar-2025,EQ,"5,121.45","5,248.80","5,066.00","5,054.70","5,183.00","5,185.05","5,166.60","8,345.00","3,843.00",1461587,"7,55,14,38,707.85",124423
24-Mar-2025,EQ,"5,150.45","5,168.15","5,044.80","5,150.05","5,063.00","5,054.70","5,085.98","8,345.00","3,843.00",908085,"4,61,85,03,397.30",86001
21-Mar-2025,EQ,"5,224.50","5,293.45","5,125.50","5,221.55","5,138.00","5,150.05","5,177.54","8,345.00","3,843.00",1197537,"6,20,02,91,085.90",103497
20-Mar-2025,EQ,"5,247.00","5,275.55","5,158.80","5,230.85","5,215.00","5,221.55","5,216.99","8,345.00","3,843.00",759448,"3,96,20,29,026.05",104367
19-Mar-2025,EQ,"5,276.05","5,299.90","5,194.60","5,260.25","5,233.00","5,230.85","5,254.54","8,345.00","3,843.00",957079,"5,02,90,07,115.75",100774
18-Mar-2025,EQ,"5,185.30","5,285.40","5,171.45","5,159.55","5,258.00","5,260.25","5,229.24","8,345.00","3,843.00",994888,"5,20,25,10,431.45",90479
17-Mar-2025,EQ,"5,022.40","5,179.90","5,014.00","5,022.40","5,150.00","5,159.55","5,132.96","8,345.00","3,843.00",856529,"4,39,65,29,788.05",93390
13-Mar-2025,EQ,"5,030.00","5,107.90","4,970.10","5,015.35","5,020.80","5,022.40","5,044.72","8,345.00","3,843.00",860279,"4,33,98,65,009.25",81246
12-Mar-2025,EQ,"5,010.60","5,105.00","4,960.00","4,995.45","5,025.10","5,015.35","5,037.55","8,345.00","3,843.00",1026027,"5,16,86,66,523.10",83968
11-Mar-2025,EQ,"4,739.70","5,045.00","4,722.95","4,799.70","4,998.00","4,995.45","4,923.57","8,345.00","3,843.00",1437957,"7,07,98,75,811.55",138953
10-Mar-2025,EQ,"4,990.00","4,997.85","4,787.75","4,999.85","4,794.45","4,799.70","4,866.57","8,345.00","3,843.00",1217553,"5,92,53,06,905.15",125557
07-Mar-2025,EQ,"5,075.00","5,099.95","4,985.00","5,069.50","4,990.00","4,999.85","5,028.18","8,345.00","3,750.25",690809,"3,47,35,11,114.80",69686
06-Mar-2025,EQ,"5,174.50","5,174.50","4,970.95","5,106.10","5,048.90","5,069.50","5,035.73","8,345.00","3,750.25",1499675,"7,55,19,63,144.65",155997
05-Mar-2025,EQ,"4,987.00","5,320.00","4,987.00","4,999.80","5,110.10","5,106.10","5,171.48","8,345.00","3,750.25",2128488,"11,00,74,38,645.00",194701
04-Mar-2025,EQ,"4,898.90","5,069.90","4,865.70","4,946.90","4,984.30","4,999.80","4,998.03","8,345.00","3,750.25",898723,"4,49,18,40,778.20",112939
03-Mar-2025,EQ,"4,900.05","5,022.95","4,775.00","4,851.55","4,952.60","4,946.90","4,916.30","8,345.00","3,750.25",1415550,"6,95,92,64,918.85",124524
28-Feb-2025,EQ,"4,760.00","4,876.40","4,715.00","4,805.30","4,838.65","4,851.55","4,810.30","8,345.00","3,750.25",2178604,"10,47,97,44,203.15",127092
27-Feb-2025,EQ,"4,951.00","4,959.00","4,770.10","4,959.90","4,780.00","4,805.30","4,840.12","8,345.00","3,750.25",997906,"4,82,99,87,705.10",113060
25-Feb-2025,EQ,"5,090.00","5,129.25","4,936.30","5,066.00","4,944.00","4,959.90","5,014.64","8,345.00","3,750.25",976304,"4,89,58,17,320.35",97538
24-Feb-2025,EQ,"4,998.60","5,080.00","4,928.25","5,048.20","5,050.65","5,066.00","5,008.89","8,345.00","3,750.25",823625,"4,12,54,43,234.75",82188
21-Feb-2025,EQ,"5,088.00","5,167.95","5,023.00","5,099.50","5,032.00","5,048.20","5,074.18","8,345.00","3,750.25",912164,"4,62,84,82,156.30",89955
20-Feb-2025,EQ,"4,960.00","5,137.30","4,951.45","4,991.45","5,093.90","5,099.50","5,051.04","8,345.00","3,750.25",812700,"4,10,49,82,452.60",90315
19-Feb-2025,EQ,"4,960.00","5,103.30","4,940.00","4,997.75","4,975.00","4,991.45","5,031.72","8,345.00","3,750.25",764148,"3,84,49,78,866.20",88104
18-Feb-2025,EQ,"5,100.00","5,119.45","4,928.25","5,096.45","4,986.00","4,997.75","4,989.03","8,345.00","3,750.25",721122,"3,59,76,96,422.90",85687
17-Feb-2025,EQ,"5,110.00","5,159.30","4,998.15","5,117.35","5,100.00","5,096.45","5,079.64","8,345.00","3,750.25",1078162,"5,47,66,71,721.60",107687
14-Feb-2025,EQ,"5,268.00","5,325.00","5,033.20","5,256.80","5,105.00","5,117.35","5,153.54","8,345.00","3,700.10",888168,"4,57,72,10,905.90",110754
13-Feb-2025,EQ,"5,246.65","5,378.00","5,204.30","5,237.30","5,250.00","5,256.80","5,296.39","8,345.00","3,700.10",986050,"5,22,25,04,608.05",164815
12-Feb-2025,EQ,"5,228.35","5,290.00","5,113.30","5,228.35","5,235.00","5,237.30","5,227.38","8,345.00","3,700.10",1313946,"6,86,84,98,716.30",144948
